City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,trincomalee,8.5711,81.2335,77.95,70,95,10.56,LK,1668726761
85,mackenzie,55.2999,-123.1698,19.92,93,97,1.99,CA,1668726762
86,victoria,22.2855,114.1577,75.33,88,0,5.99,HK,1668726762
87,laguna,38.421,-121.4238,68.09,38,0,3.44,US,1668726763
88,cermik,38.1361,39.4493,51.31,86,96,1.23,TR,1668726763
89,albany,42.6001,-73.9662,35.46,60,35,1.01,US,1668726625
90,yarkovo,57.4028,67.0786,-3.17,96,5,3.74,RU,1668726764
91,fortuna,40.5982,-124.1573,54.93,83,0,11.5,US,1668726764
92,severo-kurilsk,50.6789,156.125,34.66,68,100,14.58,RU,1668726764
93,provideniya,64.3833,-173.3,33.91,100,100,15.99,RU,1668726765
94,najran,17.4924,44.1277,61.61,32,1,1.25,SA,1668726765
95,aklavik,68.2191,-135.0107,12.25,75,81,6.49,CA,1668726766
96,copperas cove,31.1241,-97.9031,55.74,44,0,5.75,US,1668726767
97,hvide sande,56.0045,8.1294,42.82,69,13,32.39,DK,1668726767
98,pulaski,34.7668,-92.3001,47.17,47,0,0.16,US,1668726709
99,wewak,-3.5534,143.6268,82.06,79,100,1.39,PG,1668726768
100,hirara,24.8,125.2833,77.68,76,0,1.25,JP,1668726768
101,thompson,55.7435,-97.8558,7.41,85,87,7.96,CA,1668726690
102,matay,28.419,30.7792,64.0,51,0,6.2,EG,1668726769
103,aloleng,16.1307,119.7824,80.02,77,95,8.7,PH,1668726769
104,ribeira grande,38.5167,-28.7,58.77,70,16,7.0,PT,1668726770
105,qaqortoq,60.7167,-46.0333,16.45,83,98,4.36,GL,1668726770
106,altagracia de orituco,9.8601,-66.3814,72.21,95,100,3.67,VE,1668726771
107,tura,25.5198,90.2201,60.39,88,0,4.56,IN,1668726771
108,bethel,41.3712,-73.414,41.54,59,20,11.5,US,1668726772
109,codrington,-38.2667,141.9667,58.03,68,6,11.54,AU,1668726772
110,cape town,-33.9258,18.4232,60.91,72,100,10.0,ZA,1668726773
111,la cruz,23.9167,-106.9,76.98,60,36,8.61,MX,1668726773
112,san cristobal,7.7669,-72.225,73.58,95,67,2.64,VE,1668726774
113,carnarvon,-24.8667,113.6333,64.9,61,99,18.59,AU,1668726774
114,kodiak,57.79,-152.4072,42.31,93,100,10.36,US,1668726775
115,kununurra,-15.7667,128.7333,82.38,78,3,0.0,AU,1668726775
116,hobart,-42.8794,147.3294,63.05,65,20,3.44,AU,1668726776
117,torbay,47.6666,-52.7314,46.76,86,100,8.99,CA,1668726776
118,nikolskoye,59.7035,30.7861,28.29,88,9,5.46,RU,1668726777
119,yevlax,40.6089,47.1492,54.84,50,3,7.43,AZ,1668726777
